"","ID","PARAM","Date","Flow","SYM"
"30603","05BB001",1,"1993/09/05 00:00:00.000",47.4,""
"30604","05BB001",1,"1993/09/06 00:00:00.000",45.6,""
"30605","05BB001",1,"1993/09/07 00:00:00.000",43.8,""
"30606","05BB001",1,"1993/09/08 00:00:00.000",42.6,""
"30607","05BB001",1,"1993/09/09 00:00:00.000",42.6,""
"30608","05BB001",1,"1993/09/10 00:00:00.000",42.9,""
"30609","05BB001",1,"1993/09/11 00:00:00.000",43.4,""
"30610","05BB001",1,"1993/09/12 00:00:00.000",45.6,""
"30611","05BB001",1,"1993/09/13 00:00:00.000",42.3,""
"30612","05BB001",1,"1993/09/14 00:00:00.000",40.5,""
"30613","05BB001",1,"1993/09/15 00:00:00.000",39.6,""
"30614","05BB001",1,"1993/09/16 00:00:00.000",37.3,""
"30615","05BB001",1,"1993/09/17 00:00:00.000",35.7,""
"30616","05BB001",1,"1993/09/18 00:00:00.000",34.1,""
"30617","05BB001",1,"1993/09/19 00:00:00.000",33.1,""
"30618","05BB001",1,"1993/09/20 00:00:00.000",33.5,""
"30619","05BB001",1,"1993/09/21 00:00:00.000",34.6,""
"30620","05BB001",1,"1993/09/22 00:00:00.000",33.3,""
"30621","05BB001",1,"1993/09/23 00:00:00.000",32.4,""
"30622","05BB001",1,"1993/09/24 00:00:00.000",31.9,""
"30623","05BB001",1,"1993/09/25 00:00:00.000",31.5,""
"30624","05BB001",1,"1993/09/26 00:00:00.000",30.5,""
"30625","05BB001",1,"1993/09/27 00:00:00.000",30,""
"30626","05BB001",1,"1993/09/28 00:00:00.000",30.1,""
"30627","05BB001",1,"1993/09/29 00:00:00.000",29.5,""
"30628","05BB001",1,"1993/09/30 00:00:00.000",29.1,""
"30629","05BB001",1,"1993/10/01 00:00:00.000",29,""
"30630","05BB001",1,"1993/10/02 00:00:00.000",28.6,""
"30631","05BB001",1,"1993/10/03 00:00:00.000",28.1,""
"30632","05BB001",1,"1993/10/04 00:00:00.000",28.1,""
"30633","05BB001",1,"1993/10/05 00:00:00.000",28.1,""
"30634","05BB001",1,"1993/10/06 00:00:00.000",29.2,""
"30635","05BB001",1,"1993/10/07 00:00:00.000",33.1,""
"30636","05BB001",1,"1993/10/08 00:00:00.000",31.1,""
"30637","05BB001",1,"1993/10/09 00:00:00.000",30.1,""
"30638","05BB001",1,"1993/10/10 00:00:00.000",29,""
"30639","05BB001",1,"1993/10/11 00:00:00.000",28.1,""
"30640","05BB001",1,"1993/10/12 00:00:00.000",27.2,""
"30641","05BB001",1,"1993/10/13 00:00:00.000",26.4,""
"30642","05BB001",1,"1993/10/14 00:00:00.000",26,""
"30643","05BB001",1,"1993/10/15 00:00:00.000",26.3,""
"30644","05BB001",1,"1993/10/16 00:00:00.000",26.7,""
"30645","05BB001",1,"1993/10/17 00:00:00.000",25.6,""
"30646","05BB001",1,"1993/10/18 00:00:00.000",24.7,""
"30647","05BB001",1,"1993/10/19 00:00:00.000",24.6,""
"30648","05BB001",1,"1993/10/20 00:00:00.000",23.4,""
"30649","05BB001",1,"1993/10/21 00:00:00.000",22.3,""
"30650","05BB001",1,"1993/10/22 00:00:00.000",22.4,""
"30651","05BB001",1,"1993/10/23 00:00:00.000",22.4,""
"30652","05BB001",1,"1993/10/24 00:00:00.000",25.1,""
"30653","05BB001",1,"1993/10/25 00:00:00.000",27.1,""
"30654","05BB001",1,"1993/10/26 00:00:00.000",24.3,""
"30655","05BB001",1,"1993/10/27 00:00:00.000",23,""
"30656","05BB001",1,"1993/10/28 00:00:00.000",22.6,""
"30657","05BB001",1,"1993/10/29 00:00:00.000",21.3,""
"30658","05BB001",1,"1993/10/30 00:00:00.000",20.7,""
"30659","05BB001",1,"1993/10/31 00:00:00.000",20.8,""
"30660","05BB001",1,"1993/11/01 00:00:00.000",20.7,""
"30661","05BB001",1,"1993/11/02 00:00:00.000",20.4,""
"30662","05BB001",1,"1993/11/03 00:00:00.000",20.2,""
"30663","05BB001",1,"1993/11/04 00:00:00.000",19.9,""
